Station Name,Station Latitude,Station Longitude,Bubble Tea Shop Name,Rating,Business Latitude,Business Longitude
Canada Place,49.287679,-123.115126,Xing Fu Tang,3.5,49.2833513,-123.1163056
Canada Place,49.287679,-123.115126,Gong Cha,4.0,49.2838435,-123.11335923808556
Canada Place,49.28537,-123.11709,Deer Alley Restaurant,4.5,49.28537,-123.11709
Canada Place,49.28537,-123.11709,Bubble Waffle Cafe,4.5,49.2853174845926,-123.11710665093
Canada Place,49.28537,-123.11709,CoCo Fresh Tea & Juice,4.0,49.2844898190478,-123.11441326495552
Canada Place,49.28537,-123.11709,Xing Fu Tang,3.5,49.2833513,-123.1163056
Canada Place,49.28537,-123.11709,Presotea,3.0,49.2846614799521,-123.116223519244
Canada Place,49.2833513,-123.1163056,Xing Fu Tang,3.5,49.2833513,-123.1163056
Canada Place,49.2833513,-123.1163056,CoCo Fresh Tea & Juice,4.0,49.2844898190478,-123.11441326495552
Canada Place,49.2833513,-123.1163056,Sharetea,4.0,49.2834699,-123.1144227
Canada Place,49.2833513,-123.1163056,Deer Alley Restaurant,4.5,49.28537,-123.11709
Canada Place,49.2833513,-123.1163056,Presotea,3.0,49.2846614799521,-123.116223519244
Canada Place,49.2838435,-123.11335923808556,Gong Cha,4.0,49.2838435,-123.11335923808556
Canada Place,49.2838435,-123.11335923808556,CoCo Fresh Tea & Juice,4.0,49.2844898190478,-123.11441326495552
Canada Place,49.2838435,-123.11335923808556,Sharetea,4.0,49.2834699,-123.1144227
Canada Place,49.2838435,-123.11335923808556,Tiger Sugar,3.0,49.28398,-123.11347
Canada Place,49.2838435,-123.11335923808556,Boba Run,4.5,49.2819027,-123.1074516
Granville & Georgia,49.279506,-123.1243488,Teaspoons & Company,4.5,49.279506,-123.1243488
Granville & Georgia,49.279506,-123.1243488,The Alley,3.5,49.2808317,-123.1247428
Granville & Georgia,49.279506,-123.1243488,Tea Drop Café,5.0,49.279501,-123.124057
Granville & Georgia,49.279506,-123.1243488,Atelier by Chatime,3.5,49.28030775449333,-123.11842527240516
Granville & Georgia,49.279506,-123.1243488,Yet’s Cafe,3.5,49.27771297386558,-123.13100819746376
Granville & Georgia,49.2833513,-123.1163056,Xing Fu Tang,3.5,49.2833513,-123.1163056
Granville & Georgia,49.2833513,-123.1163056,CoCo Fresh Tea & Juice,4.0,49.2844898190478,-123.11441326495552
Granville & Georgia,49.2833513,-123.1163056,Sharetea,4.0,49.2834699,-123.1144227
Granville & Georgia,49.2833513,-123.1163056,Deer Alley Restaurant,4.5,49.28537,-123.11709
Granville & Georgia,49.2833513,-123.1163056,Presotea,3.0,49.2846614799521,-123.116223519244
Granville & Georgia,49.2844898190478,-123.11441326495552,CoCo Fresh Tea & Juice,4.0,49.2844898190478,-123.11441326495552
Granville & Georgia,49.2844898190478,-123.11441326495552,Sharetea,4.0,49.2834699,-123.1144227
Granville & Georgia,49.2844898190478,-123.11441326495552,Gong Cha,4.0,49.2838435,-123.11335923808556
Granville & Georgia,49.2844898190478,-123.11441326495552,Boba Run,4.5,49.2819027,-123.1074516
Granville & Georgia,49.2844898190478,-123.11441326495552,Xing Fu Tang,3.5,49.2833513,-123.1163056
Granville & Georgia,49.2808317,-123.1247428,The Alley,3.5,49.2808317,-123.1247428
Granville & Georgia,49.2808317,-123.1247428,Teaspoons & Company,4.5,49.279506,-123.1243488
Granville & Georgia,49.2808317,-123.1247428,Tea Drop Café,5.0,49.279501,-123.124057
Granville & Georgia,49.2808317,-123.1247428,Atelier by Chatime,3.5,49.28030775449333,-123.11842527240516
Granville & Georgia,49.2808317,-123.1247428,Gong Cha,3.0,49.2813094,-123.1201513
Granville & Georgia,49.2813094,-123.1201513,Gong Cha,3.0,49.2813094,-123.1201513
Granville & Georgia,49.2813094,-123.1201513,Teaspoons & Company,4.5,49.279506,-123.1243488
Granville & Georgia,49.2813094,-123.1201513,The Alley,3.5,49.2808317,-123.1247428
Granville & Georgia,49.2813094,-123.1201513,CoCo Fresh Tea & Juice,4.0,49.2844898190478,-123.11441326495552
Granville & Georgia,49.2813094,-123.1201513,Atelier by Chatime,3.5,49.28030775449333,-123.11842527240516
Pender & Burrard,49.2844898190478,-123.11441326495552,CoCo Fresh Tea & Juice,4.0,49.2844898190478,-123.11441326495552
Pender & Burrard,49.2844898190478,-123.11441326495552,Sharetea,4.0,49.2834699,-123.1144227
Pender & Burrard,49.2844898190478,-123.11441326495552,Gong Cha,4.0,49.2838435,-123.11335923808556
Pender & Burrard,49.2844898190478,-123.11441326495552,Boba Run,4.5,49.2819027,-123.1074516
Pender & Burrard,49.2844898190478,-123.11441326495552,Xing Fu Tang,3.5,49.2833513,-123.1163056
Pender & Burrard,49.28537,-123.11709,Deer Alley Restaurant,4.5,49.28537,-123.11709
Pender & Burrard,49.28537,-123.11709,Bubble Waffle Cafe,4.5,49.2853174845926,-123.11710665093
Pender & Burrard,49.28537,-123.11709,CoCo Fresh Tea & Juice,4.0,49.2844898190478,-123.11441326495552
Pender & Burrard,49.28537,-123.11709,Xing Fu Tang,3.5,49.2833513,-123.1163056
Pender & Burrard,49.28537,-123.11709,Presotea,3.0,49.2846614799521,-123.116223519244
Pender & Burrard,49.2833513,-123.1163056,Xing Fu Tang,3.5,49.2833513,-123.1163056
Pender & Burrard,49.2833513,-123.1163056,CoCo Fresh Tea & Juice,4.0,49.2844898190478,-123.11441326495552
Pender & Burrard,49.2833513,-123.1163056,Sharetea,4.0,49.2834699,-123.1144227
Pender & Burrard,49.2833513,-123.1163056,Deer Alley Restaurant,4.5,49.28537,-123.11709
Pender & Burrard,49.2833513,-123.1163056,Presotea,3.0,49.2846614799521,-123.116223519244
Pender & Burrard,49.287679,-123.115126,Chatime,1.0,49.287679,-123.115126
Pender & Burrard,49.287679,-123.115126,CoCo Fresh Tea & Juice,4.0,49.2844898190478,-123.11441326495552
Pender & Burrard,49.287679,-123.115126,Deer Alley Restaurant,4.5,49.28537,-123.11709
Pender & Burrard,49.287679,-123.115126,Xing Fu Tang,3.5,49.2833513,-123.1163056
Pender & Burrard,49.287679,-123.115126,Gong Cha,4.0,49.2838435,-123.11335923808556
Pender & Burrard,49.2853174845926,-123.11710665093,Deer Alley Restaurant,4.5,49.28537,-123.11709
Pender & Burrard,49.2853174845926,-123.11710665093,Bubble Waffle Cafe,4.5,49.2853174845926,-123.11710665093
Pender & Burrard,49.2853174845926,-123.11710665093,CoCo Fresh Tea & Juice,4.0,49.2844898190478,-123.11441326495552
Pender & Burrard,49.2853174845926,-123.11710665093,Presotea,3.0,49.2846614799521,-123.116223519244
Pender & Burrard,49.2853174845926,-123.11710665093,Xing Fu Tang,3.5,49.2833513,-123.1163056
