Station Name,Bubble Tea Shop Name,Rating,Latitude,Longitude
šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,The Alley,N/A,N/A,N/A
šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,Presotea,N/A,N/A,N/A
šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,Infini Tea,N/A,N/A,N/A
šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,Xing Fu Tang,N/A,N/A,N/A
Heather & 14th,OneZo Tapioca,N/A,N/A,N/A
1st & Chestnut,Sharetea,N/A,N/A,N/A
1st & Chestnut,Nuttea,N/A,N/A,N/A
7th & Arbutus,Nuttea,N/A,N/A,N/A
7th & Arbutus,Sharetea,N/A,N/A,N/A
5th & Arbutus,Nuttea,N/A,N/A,N/A
5th & Arbutus,Sharetea,N/A,N/A,N/A
10th & Oak,Chun Fun How,N/A,N/A,N/A
Georgia & Thurlow,Chatime,N/A,N/A,N/A
Georgia & Thurlow,Machi Machi,N/A,N/A,N/A
Georgia & Thurlow,Jenjudan,N/A,N/A,N/A
Georgia & Thurlow,Truedan,N/A,N/A,N/A
Georgia & Thurlow,Happy Lemon,N/A,N/A,N/A
Thurlow & Pendrell,The Alley,N/A,N/A,N/A
Thurlow & Pendrell,Yet’s Cafe,N/A,N/A,N/A
Thurlow & Pendrell,Passion Tearoom,N/A,N/A,N/A
Heather & 16th,Xing Fu Tang,N/A,N/A,N/A
Heather & 16th,Ben Gong’s Tea,N/A,N/A,N/A
Heather & 16th,Hot Cha Cafe,N/A,N/A,N/A
Heather & 16th,TTOB Bubble Tea,N/A,N/A,N/A
David Lam Park - West,Chabann Kurotaki,N/A,N/A,N/A
David Lam Park - West,Cha Yuan,N/A,N/A,N/A
Beach & Seymour,Chabann Kurotaki,N/A,N/A,N/A
Beach & Seymour,Yet’s Cafe,N/A,N/A,N/A
Richards & Helmcken,The Alley,N/A,N/A,N/A
Richards & Helmcken,Gong Cha,N/A,N/A,N/A
Richards & Helmcken,ShareTea Yaletown,N/A,N/A,N/A
Richards & Helmcken,Passion Tearoom,N/A,N/A,N/A
Richards & Helmcken,Chabann Kurotaki,N/A,N/A,N/A
Burrard & 4th,Sharetea,N/A,N/A,N/A
Burrard & 4th,Nuttea,N/A,N/A,N/A
Burrard & 7th,Chatime,N/A,N/A,N/A
Burrard & 7th,Sharetea,N/A,N/A,N/A
Burrard & 7th,Nuttea,N/A,N/A,N/A
South False Creek Seawall,Chun Fun How,N/A,N/A,N/A
Arbutus Greenway & Fir,Chatime,N/A,N/A,N/A
Arbutus Greenway & Fir,Sharetea,N/A,N/A,N/A
Alder & 11th,Chun Fun How,N/A,N/A,N/A
1st & Manitoba,The Bubble Tea Shop,N/A,N/A,N/A
Quebec & 1st,The Bubble Tea Shop,N/A,N/A,N/A
7th & Laurel,Chun Fun How,N/A,N/A,N/A
7th & Laurel,OneZo Tapioca,N/A,N/A,N/A
7th &  Alder,Chun Fun How,N/A,N/A,N/A
Shaw Tower,QQ Gelato,N/A,N/A,N/A
Shaw Tower,Chatime,N/A,N/A,N/A
Shaw Tower,Chatime,N/A,N/A,N/A
Shaw Tower,Presotea,N/A,N/A,N/A
Pine & 10th,Chatime,N/A,N/A,N/A
Alberni & Jervis,Chatime,N/A,N/A,N/A
Alberni & Jervis,Truedan,N/A,N/A,N/A
Alberni & Jervis,Jenjudan,N/A,N/A,N/A
Alberni & Jervis,Machi Machi,N/A,N/A,N/A
Alberni & Jervis,45 Degree Bubble Tea House,N/A,N/A,N/A
Carrall & Seawall,Bubble King Tea House,N/A,N/A,N/A
Beach & Hornby,Yet’s Cafe,N/A,N/A,N/A
Beach & Hornby,Chabann Kurotaki,N/A,N/A,N/A
Burrard Station (Melville & Dunsmuir),Presotea,N/A,N/A,N/A
Burrard Station (Melville & Dunsmuir),Machi Machi,N/A,N/A,N/A
Burrard Station (Melville & Dunsmuir),Jenjudan,N/A,N/A,N/A
Burrard Station (Melville & Dunsmuir),Truedan,N/A,N/A,N/A
Burrard Station (Melville & Dunsmuir),Xing Fu Tang,N/A,N/A,N/A
Bute & Barclay,Chatime,N/A,N/A,N/A
Bute & Barclay,Machi Machi,N/A,N/A,N/A
Bute & Barclay,Jenjudan,N/A,N/A,N/A
Bute & Barclay,Truedan,N/A,N/A,N/A
Bute & Barclay,Prime's Thai Tea,N/A,N/A,N/A
8th & Yukon,OneZo Tapioca,N/A,N/A,N/A
Dunsmuir & Richards,Coco Fresh Tea & Juice,N/A,N/A,N/A
Dunsmuir & Richards,Gong Cha,N/A,N/A,N/A
Dunsmuir & Richards,Share Tea,N/A,N/A,N/A
Dunsmuir & Richards,Infini Tea,N/A,N/A,N/A
Dunsmuir & Richards,T Cafe,N/A,N/A,N/A
3rd & Quebec,The Bubble Tea Shop,N/A,N/A,N/A
Richards & Cordova,Coco Fresh Tea & Juice,N/A,N/A,N/A
Richards & Cordova,T Cafe,N/A,N/A,N/A
Richards & Cordova,Teaever Bubble Tea,N/A,N/A,N/A
Richards & Cordova,Gong Cha West Pender,N/A,N/A,N/A
Richards & Cordova,Share Tea,N/A,N/A,N/A
Richards & Robson,Gong Cha,N/A,N/A,N/A
Richards & Robson,Atealier by Chatime,N/A,N/A,N/A
Richards & Robson,Ikoi Cha,N/A,N/A,N/A
Richards & Robson,Jenjudan - Yaletown,N/A,N/A,N/A
Richards & Robson,Little Bee Bubble Tea,N/A,N/A,N/A
Olympic Village Station,OneZo Tapioca,N/A,N/A,N/A
Cardero & Davie,TTOB Holdings Ltd,N/A,N/A,N/A
Aquatic Centre,Yet’s Cafe,N/A,N/A,N/A
Georgia & Homer,Coco Fresh Tea & Juice,N/A,N/A,N/A
Georgia & Homer,Gong Cha,N/A,N/A,N/A
Georgia & Homer,Little Bee Bubble Tea,N/A,N/A,N/A
Georgia & Homer,Infini Tea,N/A,N/A,N/A
Georgia & Homer,Ikoi Cha,N/A,N/A,N/A
Columbia & 5th,The Bubble Tea Shop,N/A,N/A,N/A
Haro & Denman,The Bubble Tea Shop,N/A,N/A,N/A
Haro & Denman,Weather Tea,N/A,N/A,N/A
Haro & Denman,Kumme Cafe,N/A,N/A,N/A
Haro & Denman,TTOB Holdings Ltd,N/A,N/A,N/A
Richards & Davie,Chabann Kurotaki,N/A,N/A,N/A
Richards & Davie,ShareTea Yaletown,N/A,N/A,N/A
Richards & Davie,Passion Tearoom,N/A,N/A,N/A
Richards & Davie,Cha Yuan,N/A,N/A,N/A
Jervis & Robson,Chatime,N/A,N/A,N/A
Jervis & Robson,The Bubble Tea Shop,N/A,N/A,N/A
Jervis & Robson,Truedan,N/A,N/A,N/A
Jervis & Robson,Jenjudan,N/A,N/A,N/A
Jervis & Robson,Machi Machi,N/A,N/A,N/A
Smithe & Burrard,The Alley,N/A,N/A,N/A
Smithe & Burrard,Passion Tearoom,N/A,N/A,N/A
Smithe & Burrard,Machi Machi,N/A,N/A,N/A
Smithe & Burrard,Jenjudan,N/A,N/A,N/A
Smithe & Burrard,Truedan,N/A,N/A,N/A
Richards & Smithe,Gong Cha,N/A,N/A,N/A
Richards & Smithe,The Alley,N/A,N/A,N/A
Richards & Smithe,Atealier by Chatime,N/A,N/A,N/A
Richards & Smithe,Ikoi Cha,N/A,N/A,N/A
Richards & Smithe,Jenjudan - Yaletown,N/A,N/A,N/A
